Si,Ti,Cr,Al,Hf,Mo,W,Zr,B,Fe,Ga,V,Mg,Re,Vickers_hardness_(Hv),Compressive_strength_σ_max_(Mpa),Compresisve_test_temp_(℃)
15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,910.000 ,291.000 ,1250.000 
15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,922.000 ,305.000 ,1250.000 
15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,765.000 ,330.000 ,1350.000 
15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,789.000 ,418.000 ,1350.000 
15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,807.000 ,430.000 ,1350.000 
15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,897.000 ,92.000 ,1350.000 
15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,910.000 ,121.000 ,1350.000 
15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,922.000 ,132.000 ,1350.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,265.000 ,1830.000 ,25.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,287.000 ,1798.000 ,25.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,335.000 ,1801.000 ,25.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,355.000 ,1845.000 ,25.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,265.000 ,305.000 ,1250.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,287.000 ,295.000 ,1250.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,335.000 ,280.000 ,1250.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,355.000 ,195.000 ,1250.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,265.000 ,195.000 ,1350.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,287.000 ,176.000 ,1350.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,335.000 ,165.000 ,1350.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,355.000 ,87.000 ,1350.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,241.000 ,1505.000 ,25.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,286.000 ,1558.000 ,25.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,319.000 ,1650.000 ,25.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,241.000 ,543.000 ,1250.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,286.000 ,452.000 ,1250.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,319.000 ,445.000 ,1250.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,241.000 ,322.000 ,1350.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,286.000 ,293.000 ,1350.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,319.000 ,280.000 ,1350.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 ,25.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 ,25.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 ,25.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 ,25.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 ,25.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 ,25.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 ,25.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 ,25.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 ,25.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,335.000 ,1150.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,348.000 ,1150.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,414.000 ,1150.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,315.000 ,1250.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,253.000 ,1250.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,246.000 ,1250.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,219.000 ,1350.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,108.000 ,1350.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,103.000 ,1350.000 
