Si,Ti,Cr,Al,Hf,Mo,W,Zr,B,Fe,Ga,Mg,Re,Vickers_hardness_(Hv),Compressive_strength_σ_max_(Mpa)
18.700 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,5.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,799.400 ,2236.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,265.000 ,1830.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,287.000 ,1798.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,335.000 ,1801.000 
16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,355.000 ,1845.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,2.000 ,0.000 ,0.000 ,0.000 ,241.000 ,1505.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,4.000 ,0.000 ,0.000 ,0.000 ,286.000 ,1558.000 
16.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,319.000 ,1650.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 
8.000 ,20.000 ,6.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,410.000 ,1044.000 
8.000 ,20.000 ,10.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,452.000 ,1100.000 
8.000 ,20.000 ,15.000 ,0.000 ,6.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,466.000 ,1386.000 
